player_name,normalized_name,player_page_url,discovered_from_url,scraped_at
,francesco maestrelli,https://www.tennisabstract.com/cgi-bin/player.cgi?p=208353/Francesco-Maestrelli,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
,giulio zeppieri,https://www.tennisabstract.com/cgi-bin/player.cgi?p=206748/Giulio-Zeppieri,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
,benjamin bonzi,https://www.tennisabstract.com/cgi-bin/player.cgi?p=126127/Benjamin-Bonzi,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
,nicolai budkov kjaer,https://www.tennisabstract.com/cgi-bin/player.cgi?p=149282/Nicolai-Budkov-Kjaer,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
,pablo carreno busta,https://www.tennisabstract.com/cgi-bin/player.cgi?p=105807/Pablo-Carreno-Busta,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
,alejo sanchez quilez,https://www.tennisabstract.com/cgi-bin/player.cgi?p=211639/Alejo-Sanchez-Quilez,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
,arthur gea,https://www.tennisabstract.com/cgi-bin/player.cgi?p=210338/Arthur-Gea,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
,vilius gaubas,https://www.tennisabstract.com/cgi-bin/player.cgi?p=209147/Vilius-Gaubas,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
,matteo arnaldi,https://www.tennisabstract.com/cgi-bin/player.cgi?p=208286/Matteo-Arnaldi,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
,aleksandar vukic,https://www.tennisabstract.com/cgi-bin/player.cgi?p=126846/Aleksandar-Vukic,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
,max alcala gurri,https://www.tennisabstract.com/cgi-bin/player.cgi?p=208024/Max-Alcala-Gurri,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
,constantin frantzen,https://www.tennisabstract.com/cgi-bin/player.cgi?p=200485/Constantin-Frantzen,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
,robin haase,https://www.tennisabstract.com/cgi-bin/player.cgi?p=104898/Robin-Haase,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
