strategy_key,prob_mode,edge_threshold,match_id,date,surface,year,odds_source,prob,market_prob,edge,p1_decimal_odds,full_kelly,kelly_fraction_applied,bet_size,bankroll_before,bankroll_after,pnl,correct
raw_t0.02,raw,0.02,2025-416_11.0,2025-01-06,clay,2025,pinnacle,0.7729833722114563,0.6578947368421053,0.11508863536935099,1.52,0.33641293415656465,0.05,875661.4648390547,17513229.296781093,16637567.831942039,-875661.4648390547,0
raw_t0.02,raw,0.02,2025-8998_2.0,2025-01-06,hard,2025,pinnacle,0.5894083380699158,0.5524861878453039,0.03692215022461187,1.81,0.08250505173647847,0.041252525868239236,686341.6973717739,16637567.831942039,17193504.606813174,555936.7748711369,1
raw_t0.02,raw,0.02,2025-301_11.0,2025-01-07,hard,2025,pinnacle,0.3687051832675934,0.2481389578163771,0.12056622545121629,4.03,0.16035705893346583,0.05,859675.2303406587,17193504.606813174,16333829.376472514,-859675.2303406587,0
raw_t0.02,raw,0.02,2025-8998_7.0,2025-01-07,hard,2025,pinnacle,0.5781000852584839,0.5263157894736842,0.051784295784799705,1.9,0.10932240221235488,0.05,816691.4688236257,16333829.376472514,15517137.907648887,-816691.4688236257,0
raw_t0.02,raw,0.02,2025-375_18.0,2025-01-08,hard,2025,pinnacle,0.4272274076938629,0.3676470588235294,0.05958034887033353,2.72,0.09422008658564371,0.047110043292821854,731013.0386100262,15517137.907648887,14786124.869038861,-731013.0386100262,0
raw_t0.02,raw,0.02,2025-8998_19.0,2025-01-08,hard,2025,pinnacle,0.173177033662796,0.0928505106778087,0.0803265229849873,10.77,0.08854827559348134,0.04427413779674067,654642.9299316406,14786124.869038861,14131481.93910722,-654642.9299316406,0
raw_t0.02,raw,0.02,2025-8998_13.0,2025-01-08,hard,2025,pinnacle,0.4877818822860718,0.3676470588235294,0.1201348234625424,2.72,0.1899806510570438,0.05,706574.0969553611,14131481.93910722,13424907.84215186,-706574.0969553611,0
raw_t0.02,raw,0.02,2025-301_21.0,2025-01-08,hard,2025,pinnacle,0.7418771386146545,0.6451612903225806,0.09671584829207391,1.55,0.2725628451867537,0.05,671245.392107593,13424907.84215186,12753662.450044267,-671245.392107593,0
raw_t0.02,raw,0.02,2025-404_13.0,2025-01-08,hard,2025,pinnacle,0.6818940043449402,0.4524886877828054,0.2294053165621348,2.21,0.41899648727464284,0.05,637683.1225022133,12753662.450044267,13525259.028271945,771596.5782276781,1
raw_t0.02,raw,0.02,2025-301_18.0,2025-01-08,hard,2025,pinnacle,0.5635746121406555,0.4524886877828054,0.11108592435785014,2.21,0.20289247341392458,0.05,676262.9514135973,13525259.028271945,14343537.199482398,818278.1712104528,1
raw_t0.02,raw,0.02,2025-301_19.0,2025-01-08,hard,2025,pinnacle,0.4023154377937317,0.3460207612456747,0.05629467654805698,2.89,0.08608021969517705,0.04304010984758853,617347.4166686947,14343537.199482398,13726189.782813704,-617347.4166686947,0
raw_t0.02,raw,0.02,2025-301_23.0,2025-01-09,hard,2025,pinnacle,0.5291179418563843,0.4219409282700421,0.10717701358634218,2.37,0.185408410364694,0.05,686309.4891406852,13726189.782813704,13039880.293673018,-686309.4891406852,0
raw_t0.02,raw,0.02,2025-8998_21.0,2025-01-09,hard,2025,pinnacle,0.5540556907653809,0.2457002457002456,0.30835544506513524,4.07,0.4087969581156678,0.05,651994.0146836509,13039880.293673018,12387886.278989367,-651994.0146836509,0
