snapshot_date,scraped_at,player_name,official_rank,official_points,age,rankings_source
2026-04-17,2026-04-17T06:12:12Z,A. Shevchenko,75,751,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Alexander Shevchenko,75,751,25.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,M. Giron,76,750,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Marcos Giron,76,750,32.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,V. Royer,77,742,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Valentin Royer,77,742,24.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,V. Kopriva,78,738,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Vit Kopriva,78,738,28.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,M. Bellucci,79,734,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Mattia Bellucci,79,734,24.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,M. Trungelliti,80,732,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Marco Trungelliti,80,732,36.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,J. Struff,81,709,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Jan-Lennard Struff,81,709,35.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,D. Dzumhur,82,694,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Damir Dzumhur,82,694,33.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,C. Garin,83,679,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Cristian Garin,83,679,29.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Z. Svajda,84,674,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Zachary Svajda,84,674,23.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,E. Spizzirri,85,674,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Eliot Spizzirri,85,674,24.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,S. Ofner,86,673,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Sebastian Ofner,86,673,29.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,D. Prizmic,87,670,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Dino Prizmic,87,670,20.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,H. Medjedovic,88,664,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Hamad Medjedovic,88,664,22.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,A. Vukic,89,663,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Aleksandar Vukic,89,663,30.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Q. Halys,90,650,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Quentin Halys,90,650,29.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,M. Berrettini,91,650,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Matteo Berrettini,91,650,30.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,F. Comesana,92,649,,atp_daily_snapshot
