date,year,surface,winner_name,loser_name,winner_odds,loser_odds,odds_source
2025-09-26,2025,hard,tien l.,cerundolo f.,2.12,1.79,pinnacle
2025-09-26,2025,hard,medvedev d.,norrie c.,1.29,3.91,pinnacle
2025-09-26,2025,hard,mannarino a.,bublik a.,3.18,1.4,pinnacle
2025-09-26,2025,hard,moutet c.,griekspoor t.,1.79,2.12,pinnacle
2025-09-26,2025,hard,musetti l.,mpetshi g.,1.36,3.42,pinnacle
2025-09-26,2025,hard,zverev a.,sonego l.,1.27,4.12,pinnacle
2025-09-27,2025,hard,marozsan f.,muller a.,1.64,2.42,pinnacle
2025-09-27,2025,hard,de minaur a.,rinderknech a.,1.11,8.03,pinnacle
2025-09-27,2025,hard,sinner j.,atmane t.,1.02,19.03,pinnacle
2025-09-27,2025,hard,mensik j.,cazaux a.,1.45,2.98,pinnacle
2025-09-28,2025,hard,tien l.,cobolli f.,2.47,1.61,pinnacle
2025-09-28,2025,hard,musetti l.,mannarino a.,1.53,2.7,pinnacle
2025-09-28,2025,hard,medvedev d.,davidovich fokina a.,1.75,2.21,pinnacle
2025-09-28,2025,hard,zverev a.,moutet c.,1.21,5.15,pinnacle
2025-09-29,2025,hard,de minaur a.,mensik j.,1.47,2.9,pinnacle
2025-09-29,2025,hard,sinner j.,marozsan f.,1.04,13.0,bet365
2025-09-29,2025,hard,tien l.,musetti l.,3.26,1.39,pinnacle
2025-09-29,2025,hard,medvedev d.,zverev a.,1.86,2.03,pinnacle
2025-09-30,2025,hard,sinner j.,de minaur a.,1.16,6.18,pinnacle
2025-09-30,2025,hard,tien l.,medvedev d.,3.52,1.34,pinnacle
2025-10-01,2025,hard,sinner j.,tien l.,1.03,15.0,bet365
2025-09-24,2025,hard,berrettini m.,munar j.,2.26,1.71,pinnacle
2025-09-24,2025,hard,borges n.,watanuki y.,1.68,2.31,pinnacle
2025-09-24,2025,hard,altmaier d.,shapovalov d.,3.61,1.33,pinnacle
2025-09-24,2025,hard,fucsovics m.,tiafoe f.,1.69,2.25,pinnacle
2025-09-25,2025,hard,brooksby j.,humbert u.,2.18,1.76,pinnacle
2025-09-25,2025,hard,darderi l.,nishioka y.,1.71,2.25,pinnacle
2025-09-25,2025,hard,korda s.,giron m.,1.58,2.52,pinnacle
2025-09-25,2025,hard,shimabukuro s.,machac t.,3.64,1.33,pinnacle
2025-09-25,2025,hard,fritz t.,diallo g.,1.27,4.11,pinnacle
2025-09-25,2025,hard,vukic a.,dzumhur d.,1.55,2.6,pinnacle
2025-09-25,2025,hard,nakashima b.,thompson j.,1.5,2.77,pinnacle
2025-09-25,2025,hard,quinn e.,michelsen a.,2.49,1.6,pinnacle
2025-09-25,2025,hard,ruud c.,mochizuki s.,1.41,3.11,pinnacle
2025-09-25,2025,hard,bergs z.,tabilo a.,1.8,2.11,pinnacle
2025-09-25,2025,hard,rune h.,medjedovic h.,1.65,2.37,pinnacle
2025-09-25,2025,hard,alcaraz c.,baez s.,1.02,19.0,bet365
2025-09-26,2025,hard,vukic a.,altmaier d.,1.95,1.93,pinnacle
2025-09-26,2025,hard,korda s.,shimabukuro s.,1.37,3.34,pinnacle
2025-09-26,2025,hard,fritz t.,borges n.,1.2,5.19,pinnacle
2025-09-26,2025,hard,ruud c.,berrettini m.,1.71,2.27,pinnacle
2025-09-27,2025,hard,brooksby j.,darderi l.,1.57,2.57,pinnacle
2025-09-27,2025,hard,nakashima b.,fucsovics m.,1.8,2.14,pinnacle
2025-09-27,2025,hard,rune h.,quinn e.,1.42,3.12,pinnacle
2025-09-27,2025,hard,alcaraz c.,bergs z.,1.04,13.0,bet365
2025-09-28,2025,hard,fritz t.,korda s.,1.39,3.3,pinnacle
2025-09-28,2025,hard,brooksby j.,rune h.,2.91,1.46,pinnacle
2025-09-28,2025,hard,ruud c.,vukic a.,1.34,3.59,pinnacle
2025-09-28,2025,hard,alcaraz c.,nakashima b.,1.08,8.42,pinnacle
2025-09-29,2025,hard,fritz t.,brooksby j.,1.32,3.65,pinnacle
2025-09-29,2025,hard,alcaraz c.,ruud c.,1.13,7.27,pinnacle
2025-09-30,2025,hard,alcaraz c.,fritz t.,1.23,4.59,pinnacle
2025-10-01,2025,hard,bellucci m.,walton a.,1.89,2.0,pinnacle
2025-10-01,2025,hard,nardi l.,ofner s.,1.66,2.34,pinnacle
2025-10-01,2025,hard,munar j.,fucsovics m.,2.04,1.85,pinnacle
2025-10-01,2025,hard,goffin d.,muller a.,1.95,1.93,pinnacle
2025-10-01,2025,hard,thompson j.,holmgren a.,1.41,3.1,pinnacle
2025-10-01,2025,hard,altmaier d.,schoolkate t.,1.97,1.9,pinnacle
2025-10-01,2025,hard,mannarino a.,berrettini m.,2.32,1.67,pinnacle
2025-10-01,2025,hard,cilic m.,basilashvili n.,2.01,1.86,pinnacle
2025-10-01,2025,hard,nishioka y.,shevchenko a.,1.72,2.23,pinnacle
2025-10-01,2025,hard,vacherot v.,djere l.,1.55,2.61,pinnacle
2025-10-01,2025,hard,bergs z.,korda s.,2.88,1.47,pinnacle
2025-10-01,2025,hard,baez s.,zhang zh.,2.22,1.72,pinnacle
2025-10-01,2025,hard,hanfmann y.,sonego l.,2.38,1.64,pinnacle
2025-10-01,2025,hard,marozsan f.,wawrinka s.,1.43,3.01,pinnacle
2025-10-02,2025,hard,ugo carabelli c.,atmane t.,4.13,1.27,pinnacle
2025-10-02,2025,hard,svrcina d.,wu y.,2.38,1.64,pinnacle
2025-10-02,2025,hard,borges n.,van de zandschulp b.,1.9,1.99,pinnacle
2025-10-02,2025,hard,comesana f.,blanchet u.,1.79,2.12,pinnacle
2025-10-02,2025,hard,brooksby j.,trotter j.k.,1.33,3.59,pinnacle
2025-10-02,2025,hard,o connell c.,dzumhur d.,1.67,2.32,pinnacle
2025-10-02,2025,hard,bonzi b.,opelka r.,2.07,1.83,pinnacle
2025-10-02,2025,hard,majchrzak k.,quinn e.,2.19,1.75,pinnacle
2025-10-02,2025,hard,de jong j.,zhou y.,1.52,2.69,pinnacle
2025-10-02,2025,hard,cazaux a.,martinez p.,1.22,4.84,pinnacle
2025-10-02,2025,hard,royer v.,navone m.,1.45,2.96,pinnacle
2025-10-02,2025,hard,tabilo a.,giron m.,1.83,2.07,pinnacle
2025-10-02,2025,hard,halys q.,mcdonald m.,2.49,1.6,pinnacle
2025-10-02,2025,hard,shang j.,kovacevic a.,1.45,2.96,pinnacle
2025-10-02,2025,hard,rinderknech a.,medjedovic h.,2.34,1.66,pinnacle
2025-10-02,2025,hard,arnaldi m.,sakamoto r.,1.63,2.4,pinnacle
2025-10-02,2025,hard,bu y.,cerundolo j.m.,1.55,2.61,pinnacle
2025-10-03,2025,hard,tien l.,kecmanovic m.,1.89,2.0,pinnacle
2025-10-03,2025,hard,goffin d.,shelton b.,3.1,1.41,pinnacle
2025-10-03,2025,hard,diallo g.,bonzi b.,1.57,2.52,pinnacle
2025-10-03,2025,hard,hanfmann y.,tiafoe f.,2.37,1.65,pinnacle
2025-10-03,2025,hard,cerundolo f.,mannarino a.,1.99,1.9,pinnacle
2025-10-03,2025,hard,rune h.,baez s.,1.2,5.06,pinnacle
2025-10-03,2025,hard,humbert u.,thompson j.,1.72,2.22,pinnacle
2025-10-03,2025,hard,machac t.,bellucci m.,1.54,2.63,pinnacle
2025-10-03,2025,hard,mpetshi g.,nardi l.,1.54,2.64,pinnacle
2025-10-03,2025,hard,djokovic n.,cilic m.,1.11,8.0,pinnacle
2025-10-03,2025,hard,griekspoor t.,brooksby j.,2.6,1.55,pinnacle
2025-10-03,2025,hard,munar j.,cobolli f.,2.17,1.76,pinnacle
2025-10-03,2025,hard,vacherot v.,bublik a.,3.4,1.36,pinnacle
2025-10-03,2025,hard,bergs z.,ruud c.,3.38,1.36,pinnacle
2025-10-03,2025,hard,fritz t.,marozsan f.,1.31,3.74,pinnacle
2025-10-04,2025,hard,majchrzak k.,nakashima b.,2.68,1.53,pinnacle
2025-10-04,2025,hard,de minaur a.,ugo carabelli c.,1.05,13.76,pinnacle
2025-10-04,2025,hard,lehecka j.,halys q.,1.23,4.68,pinnacle
2025-10-04,2025,hard,auger-aliassime f.,tabilo a.,1.63,2.4,pinnacle
2025-10-04,2025,hard,nishioka y.,rublev a.,3.93,1.29,pinnacle
2025-10-04,2025,hard,rinderknech a.,michelsen a.,1.86,2.03,pinnacle
2025-10-04,2025,hard,shapovalov d.,o connell c.,1.44,2.97,pinnacle
2025-10-04,2025,hard,de jong j.,mensik j.,2.81,1.49,pinnacle
2025-10-04,2025,hard,zverev a.,royer v.,1.28,3.99,pinnacle
2025-10-04,2025,hard,musetti l.,comesana f.,1.34,3.55,pinnacle
2025-10-04,2025,hard,tien l.,moutet c.,2.22,1.71,pinnacle
2025-10-04,2025,hard,davidovich fokina a.,arnaldi m.,1.48,2.82,pinnacle
2025-10-04,2025,hard,darderi l.,bu y.,2.14,1.78,pinnacle
2025-10-04,2025,hard,norrie c.,cazaux a.,1.84,2.06,pinnacle
2025-10-04,2025,hard,medvedev d.,svrcina d.,1.27,4.12,pinnacle
2025-10-04,2025,hard,sinner j.,altmaier d.,1.04,13.94,pinnacle
2025-10-04,2025,hard,borges n.,vukic a.,1.47,2.84,pinnacle
